Race,Driver,Team,GridPosition,Position,Lap,TyreBefore,TyreAfter,PitDuration
Bahrain Grand Prix,VER,Red Bull Racing,1.0,1,17.0,SOFT,HARD,25.088
Bahrain Grand Prix,VER,Red Bull Racing,1.0,1,37.0,HARD,SOFT,24.218
Bahrain Grand Prix,PER,Red Bull Racing,5.0,2,12.0,SOFT,HARD,24.493
Bahrain Grand Prix,PER,Red Bull Racing,5.0,2,36.0,HARD,SOFT,24.423
Bahrain Grand Prix,SAI,Ferrari,4.0,3,14.0,SOFT,HARD,24.58
Bahrain Grand Prix,SAI,Ferrari,4.0,3,35.0,HARD,HARD,23.886
Bahrain Grand Prix,LEC,Ferrari,2.0,4,11.0,SOFT,HARD,24.048
Bahrain Grand Prix,LEC,Ferrari,2.0,4,34.0,HARD,HARD,24.081
Bahrain Grand Prix,RUS,Mercedes,3.0,5,11.0,SOFT,HARD,24.766
Bahrain Grand Prix,RUS,Mercedes,3.0,5,31.0,HARD,HARD,24.95
Bahrain Grand Prix,NOR,McLaren,7.0,6,13.0,SOFT,HARD,24.11
Bahrain Grand Prix,NOR,McLaren,7.0,6,33.0,HARD,HARD,24.8
Bahrain Grand Prix,HAM,Mercedes,9.0,7,12.0,SOFT,HARD,25.064
Bahrain Grand Prix,HAM,Mercedes,9.0,7,33.0,HARD,HARD,24.119
Bahrain Grand Prix,PIA,McLaren,8.0,8,12.0,SOFT,HARD,25.416
Bahrain Grand Prix,PIA,McLaren,8.0,8,34.0,HARD,HARD,24.794
Bahrain Grand Prix,ALO,Aston Martin,6.0,9,15.0,SOFT,HARD,24.862
Bahrain Grand Prix,ALO,Aston Martin,6.0,9,41.0,HARD,HARD,25.061
Bahrain Grand Prix,STR,Aston Martin,12.0,10,9.0,SOFT,HARD,24.354
Bahrain Grand Prix,STR,Aston Martin,12.0,10,27.0,HARD,HARD,24.42
Bahrain Grand Prix,ZHO,Kick Sauber,17.0,11,9.0,SOFT,HARD,25.141
Bahrain Grand Prix,ZHO,Kick Sauber,17.0,11,28.0,HARD,HARD,24.983
Bahrain Grand Prix,MAG,Haas F1 Team,15.0,12,11.0,SOFT,HARD,25.897
Bahrain Grand Prix,MAG,Haas F1 Team,15.0,12,32.0,HARD,HARD,24.557
Bahrain Grand Prix,RIC,RB,14.0,13,13.0,SOFT,HARD,24.591
Bahrain Grand Prix,RIC,RB,14.0,13,35.0,HARD,SOFT,24.769
Bahrain Grand Prix,TSU,RB,11.0,14,14.0,SOFT,HARD,24.673
Bahrain Grand Prix,TSU,RB,11.0,14,34.0,HARD,HARD,24.598
