Race,Driver,Team,GridPosition,Position,Lap,TyreBefore,TyreAfter,PitDuration
Bahrain Grand Prix,VER,Red Bull Racing,1,1,17,SOFT,HARD,25.088
Bahrain Grand Prix,VER,Red Bull Racing,1,1,37,HARD,SOFT,24.218
Bahrain Grand Prix,PER,Red Bull Racing,5,2,12,SOFT,HARD,24.493
Bahrain Grand Prix,PER,Red Bull Racing,5,2,36,HARD,SOFT,24.423
Bahrain Grand Prix,SAI,Ferrari,4,3,14,SOFT,HARD,24.58
Bahrain Grand Prix,SAI,Ferrari,4,3,35,HARD,HARD,23.886
Bahrain Grand Prix,LEC,Ferrari,2,4,11,SOFT,HARD,24.048
Bahrain Grand Prix,LEC,Ferrari,2,4,34,HARD,HARD,24.081
Bahrain Grand Prix,RUS,Mercedes,3,5,11,SOFT,HARD,24.766
Bahrain Grand Prix,RUS,Mercedes,3,5,31,HARD,HARD,24.95
Bahrain Grand Prix,NOR,McLaren,7,6,13,SOFT,HARD,24.11
Bahrain Grand Prix,NOR,McLaren,7,6,33,HARD,HARD,24.8
Bahrain Grand Prix,HAM,Mercedes,9,7,12,SOFT,HARD,25.064
Bahrain Grand Prix,HAM,Mercedes,9,7,33,HARD,HARD,24.119
Bahrain Grand Prix,PIA,McLaren,8,8,12,SOFT,HARD,25.416
Bahrain Grand Prix,PIA,McLaren,8,8,34,HARD,HARD,24.794
Bahrain Grand Prix,ALO,Aston Martin,6,9,15,SOFT,HARD,24.862
Bahrain Grand Prix,ALO,Aston Martin,6,9,41,HARD,HARD,25.061
Bahrain Grand Prix,STR,Aston Martin,12,10,9,SOFT,HARD,24.354
Bahrain Grand Prix,STR,Aston Martin,12,10,27,HARD,HARD,24.42
Bahrain Grand Prix,ZHO,Kick Sauber,17,11,9,SOFT,HARD,25.141
Bahrain Grand Prix,ZHO,Kick Sauber,17,11,28,HARD,HARD,24.983
Bahrain Grand Prix,MAG,Haas F1 Team,15,12,11,SOFT,HARD,25.897
Bahrain Grand Prix,MAG,Haas F1 Team,15,12,32,HARD,HARD,24.557
Bahrain Grand Prix,RIC,RB,14,13,13,SOFT,HARD,24.591
Bahrain Grand Prix,RIC,RB,14,13,35,HARD,SOFT,24.769
Bahrain Grand Prix,TSU,RB,11,14,14,SOFT,HARD,24.673
Bahrain Grand Prix,TSU,RB,11,14,34,HARD,HARD,24.598
Bahrain Grand Prix,ALB,Williams,13,15,15,SOFT,HARD,24.779
Bahrain Grand Prix,ALB,Williams,13,15,36,HARD,HARD,24.682
Bahrain Grand Prix,HUL,Haas F1 Team,10,16,1,SOFT,HARD,36.563
Bahrain Grand Prix,HUL,Haas F1 Team,10,16,20,HARD,HARD,24.613
Bahrain Grand Prix,HUL,Haas F1 Team,10,16,41,HARD,SOFT,24.333
Bahrain Grand Prix,OCO,Alpine,19,17,10,SOFT,HARD,24.691
Bahrain Grand Prix,OCO,Alpine,19,17,30,HARD,HARD,25.13
Bahrain Grand Prix,GAS,Alpine,20,18,12,SOFT,HARD,29.802
Bahrain Grand Prix,GAS,Alpine,20,18,31,HARD,HARD,26.536
Bahrain Grand Prix,GAS,Alpine,20,18,43,HARD,SOFT,25.107
Bahrain Grand Prix,BOT,Kick Sauber,16,19,12,SOFT,HARD,26.566
Bahrain Grand Prix,BOT,Kick Sauber,16,19,30,HARD,HARD,74.951
Bahrain Grand Prix,SAR,Williams,18,20,10,SOFT,HARD,35.725
Bahrain Grand Prix,SAR,Williams,18,20,28,HARD,HARD,25.143
